poi_name,poi_alias,city,district,poi_type,tags,recommended_duration_minutes,best_time,avoid_time,price_level,estimated_cost_low,estimated_cost_high,indoor_outdoor,suitable_for,avoid_tips,nearby_area,amap_poi_id,longitude,latitude,source,confidence,amap_name,amap_address,amap_type,amap_cityname,amap_adname,match_score,match_keyword,match_status
鹅岭二厂,鹅岭二厂文创公园,重庆,渝中区,拍照点,拍照|文创|电影感|年轻人,90,下午,节假日高峰,low,0,80,mixed,拍照用户|情侣|朋友,节假日人多，部分机位需要排队,鹅岭片区,B0KKV40VXE,106.539997,29.551312,manual,0.85,山屿一舍(重庆鹅岭二厂文创公园店),鹅岭正街1号,住宿服务;住宿服务相关;住宿服务相关,重庆市,渝中区,105,鹅岭二厂,matched
李子坝,李子坝轻轨站,重庆,渝中区,拍照点,轻轨穿楼|拍照|经典打卡,45,上午|下午,节假日高峰,free,0,0,outdoor,第一次来重庆|拍照用户,停留时间不宜过长，适合与鹅岭二厂串联,鹅岭片区,B00178XHPB,106.530585,29.550659,manual,0.84,李子坝,渝中区,地名地址信息;热点地名;热点地名,重庆市,渝中区,125,李子坝,matched
三峡博物馆,重庆中国三峡博物馆,重庆,渝中区,博物馆,历史人文|室内|雨天友好|亲子,120,上午|下午,闭馆前,free,0,0,indoor,人文用户|亲子用户|雨天用户,需关注预约和开放时间，适合作为雨天替代点,人民广场片区,B001709RVF,106.550513,29.562014,manual,0.84,重庆中国三峡博物馆,人民路236号,科教文化服务;博物馆;博物馆,重庆市,渝中区,125,三峡博物馆,matched
人民大礼堂,重庆人民大礼堂,重庆,渝中区,人文景点,建筑|拍照|历史人文,60,上午|下午,大型活动期间,low,0,40,mixed,人文用户|拍照用户,适合与三峡博物馆一起安排,人民广场片区,B0FFG9WQUU,106.553361,29.561110,manual,0.80,重庆市人民大礼堂-南楼,人民路173号重庆市人民大礼堂,风景名胜;风景名胜;风景名胜,重庆市,渝中区,85,人民大礼堂,matched
观音桥,观音桥步行街,重庆,江北区,商圈,商圈|美食|夜生活|购物,120,下午|晚上,周末晚上,medium,50,200,outdoor,朋友|情侣|美食用户,周末夜间人流较大，适合作为晚上休闲点,观音桥片区,B0FFHOSTJ8,106.533919,29.576104,manual,0.84,观音桥,两江新区,地名地址信息;热点地名;热点地名,重庆市,两江新区,105,观音桥,matched
观音桥好吃街,观音桥好吃街,重庆,江北区,餐饮,美食|小吃|夜市|低预算,75,晚上,饭点高峰,low,30,100,outdoor,美食用户|朋友|低预算用户,人流密集，注意排队时间,观音桥片区,B0L2RLNOIA,106.533835,29.576440,manual,0.82,观音桥好吃街,观音桥步行街8号星天广场3楼,购物服务;特色商业街;特色商业街,重庆市,两江新区,120,观音桥好吃街,matched
北仓文创街区,北仓文创园,重庆,江北区,citywalk,文创|咖啡|拍照|轻松,90,下午,周末高峰,low,30,100,mixed,拍照用户|情侣|轻松游用户,更适合慢逛，不适合作为核心景点单独远距离前往,观音桥片区,B0FFHSIGMG,106.538685,29.578539,manual,0.78,北仓文创街区,兴塔路与建北一支路交叉口东50米,购物服务;特色商业街;特色商业街,重庆市,两江新区,80,北仓文创街区,matched
南滨路,重庆南滨路,重庆,南岸区,夜景,夜景|江景|散步|拍照,90,晚上,雨天|大风天,free,0,100,outdoor,情侣|拍照用户|夜景用户,适合看渝中半岛夜景，但距离其他点位需控制交通时间,南滨路片区,B0FFG8696H,106.576856,29.541622,manual,0.84,南滨路,南岸区,地名地址信息;地名地址信息;地名地址信息,重庆市,南岸区,125,南滨路,matched
龙门浩老街,龙门浩老街,重庆,南岸区,citywalk,老街|拍照|江景|历史人文,90,下午|晚上,雨天,free,0,80,outdoor,citywalk用户|拍照用户,坡道较多，建议穿舒适鞋,南滨路片区,B0FFJ0756U,106.594746,29.555993,manual,0.80,龙门浩老街,南滨路105号(上新街地铁站2号口步行320米),风景名胜;风景名胜;国家级景点,重庆市,南岸区,135,龙门浩老街,matched
弹子石老街,弹子石老街,重庆,南岸区,citywalk,老街|夜景|拍照|商业街区,90,下午|晚上,节假日晚上,free,0,100,mixed,情侣|拍照用户|夜景用户,商业化较强，适合与南滨路组合,南滨路片区,B0FFKQ2PBH,106.586654,29.578963,manual,0.79,长嘉汇弹子石老街游客中心,泰昌路69号长嘉汇弹子石老街,生活服务;信息咨询中心;服务中心,重庆市,南岸区,110,弹子石老街,matched
磁器口,磁器口古镇,重庆,沙坪坝区,景点,古镇|小吃|经典打卡|人多,120,上午|下午,节假日,free,0,100,outdoor,第一次来重庆|美食用户|亲子用户,商业化明显，节假日非常拥挤,沙坪坝片区,B00178XHPW,106.450363,29.581060,manual,0.80,磁器口,沙坪坝区,地名地址信息;热点地名;热点地名,重庆市,沙坪坝区,125,磁器口,matched
罗中立美术馆,四川美术学院美术馆,重庆,沙坪坝区,博物馆,艺术|室内|拍照|雨天友好,120,上午|下午,闭馆前,free,0,50,indoor,艺术用户|拍照用户|雨天用户,需关注开放时间和展览安排,大学城片区,B0LRRMJA7I,106.301855,29.599693,manual,0.82,飞迎天下无人机学院,大学城熙街景苑路(渝欣驾校内)罗中立美术馆旁,科教文化服务;培训机构;培训机构,重庆市,沙坪坝区,40,罗中立美术馆,low_confidence
川美虎溪校区,四川美术学院虎溪校区,重庆,沙坪坝区,拍照点,艺术|校园|拍照|青春感,90,下午,校园管控期间,free,0,30,outdoor,拍照用户|艺术用户,需关注校园是否开放，不建议打扰教学秩序,大学城片区,B00178UM76,106.297347,29.602724,manual,0.76,四川美术学院虎溪校区,大学城南路28号,科教文化服务;学校;高等院校,重庆市,沙坪坝区,75,川美虎溪校区,matched
重庆动物园,重庆动物园,重庆,九龙坡区,亲子,亲子|熊猫|轻松|户外,150,上午,高温中午,medium,25,50,outdoor,亲子用户|带父母用户|轻松游用户,建议上午前往，避开高温和人流高峰,杨家坪片区,B001701F98,106.505799,29.504023,manual,0.82,重庆动物园,西郊一村1号,风景名胜;公园广场;动物园,重庆市,九龙坡区,135,重庆动物园,matched
交通茶馆,交通茶馆,重庆,九龙坡区,餐饮,老重庆|茶馆|人文|拍照,75,上午|下午,周末高峰,low,10,50,indoor,人文用户|拍照用户|轻松游用户,空间较旧且人多，适合体验但不宜期待精致环境,黄桷坪片区,B001790I1V,106.542732,29.488645,manual,0.80,陈安健交通茶馆,黄桷坪正街7号(四川美术学院地铁站4号口步行50米),餐饮服务;茶艺馆;茶艺馆,重庆市,九龙坡区,110,交通茶馆,matched
黄桷坪涂鸦街,黄桷坪涂鸦艺术街,重庆,九龙坡区,citywalk,涂鸦|拍照|艺术|citywalk,90,下午,雨天,free,0,30,outdoor,拍照用户|艺术用户,适合与交通茶馆或川美相关点位组合,黄桷坪片区,B00178XHQ4,106.527010,29.494443,manual,0.78,黄桷坪,九龙坡区,地名地址信息;热点地名;热点地名,重庆市,九龙坡区,100,黄桷坪涂鸦街,matched
重庆科技馆,重庆科技馆,重庆,江北区,亲子,亲子|室内|科普|雨天友好,150,上午|下午,闭馆前,free,0,30,indoor,亲子用户|雨天用户,需关注预约和开放时间,江北嘴片区,B00178TXGC,106.577789,29.570973,manual,0.80,重庆科技馆,文星门街7号,科教文化服务;展览馆;展览馆,重庆市,两江新区,120,重庆科技馆,matched
江北嘴,江北嘴中央商务区,重庆,江北区,商圈,江景|城市景观|拍照|轻松,60,下午|晚上,工作日通勤高峰,free,0,50,outdoor,拍照用户|轻松游用户,更适合顺路经过，不建议单独安排过长时间,江北嘴片区,B0FFH437AB,106.567912,29.571902,manual,0.76,江北嘴中央商务区,庆云路16号,商务住宅;楼宇;商务写字楼,重庆市,两江新区,105,江北嘴,matched
较场口夜市,较场口夜市,重庆,渝中区,餐饮,夜市|美食|低预算|人多,75,晚上,周末晚上,low,30,100,outdoor,美食用户|朋友|低预算用户,注意排队和食品选择，适合与解放碑片区组合,解放碑片区,B0FFHIUR17,106.577228,29.554882,manual,0.78,较场口夜市,中华路与八一路交叉口东南20米,购物服务;特色商业街;特色商业街,重庆市,渝中区,135,较场口夜市,matched
长江索道,重庆长江索道,重庆,渝中区,景点,经典打卡|江景|排队风险|交通体验,90,上午|晚上,节假日高峰,medium,20,40,mixed,第一次来重庆|情侣|拍照用户,热门时段排队较久，时间紧张时可作为备选点,解放碑片区,B0FFKC768W,106.582889,29.557845,manual,0.82,重庆长江索道北站,解放碑街道新华路151号(小什字地铁站5B口旁)上新街4号重庆长江索道,风景名胜;风景名胜相关;旅游景点,重庆市,渝中区,115,长江索道,matched
