poi_name,poi_alias,city,district,poi_type,tags,recommended_duration_minutes,best_time,avoid_time,price_level,estimated_cost_low,estimated_cost_high,indoor_outdoor,suitable_for,avoid_tips,nearby_area,amap_poi_id,longitude,latitude,source,confidence
南滨路,重庆南滨路,重庆,南岸区,夜景,"夜景|江景|散步|拍照",90,晚上,"雨天|大风天",free,0,100,outdoor,"情侣|拍照用户|夜景用户",适合看渝中半岛夜景，但距离其他点位需控制交通时间,南滨路片区,,,,manual,0.84
龙门浩老街,龙门浩老街,重庆,南岸区,citywalk,"老街|拍照|江景|历史人文",90,下午|晚上,雨天,free,0,80,outdoor,"citywalk用户|拍照用户",坡道较多，建议穿舒适鞋,南滨路片区,,,,manual,0.80
弹子石老街,弹子石老街,重庆,南岸区,citywalk,"老街|夜景|拍照|商业街区",90,下午|晚上,节假日晚上,free,0,100,mixed,"情侣|拍照用户|夜景用户",商业化较强，适合与南滨路组合,南滨路片区,,,,manual,0.79
磁器口,磁器口古镇,重庆,沙坪坝区,景点,"古镇|小吃|经典打卡|人多",120,上午|下午,节假日,free,0,100,outdoor,"第一次来重庆|美食用户|亲子用户",商业化明显，节假日非常拥挤,沙坪坝片区,,,,manual,0.80
罗中立美术馆,四川美术学院美术馆,重庆,沙坪坝区,博物馆,"艺术|室内|拍照|雨天友好",120,上午|下午,闭馆前,free,0,50,indoor,"艺术用户|拍照用户|雨天用户",需关注开放时间和展览安排,大学城片区,,,,manual,0.82
川美虎溪校区,四川美术学院虎溪校区,重庆,沙坪坝区,拍照点,"艺术|校园|拍照|青春感",90,下午,校园管控期间,free,0,30,outdoor,"拍照用户|艺术用户",需关注校园是否开放，不建议打扰教学秩序,大学城片区,,,,manual,0.76
重庆动物园,重庆动物园,重庆,九龙坡区,亲子,"亲子|熊猫|轻松|户外",150,上午,高温中午,medium,25,50,outdoor,"亲子用户|带父母用户|轻松游用户",建议上午前往，避开高温和人流高峰,杨家坪片区,,,,manual,0.82
交通茶馆,交通茶馆,重庆,九龙坡区,餐饮,"老重庆|茶馆|人文|拍照",75,上午|下午,周末高峰,low,10,50,indoor,"人文用户|拍照用户|轻松游用户",空间较旧且人多，适合体验但不宜期待精致环境,黄桷坪片区,,,,manual,0.80
黄桷坪涂鸦街,黄桷坪涂鸦艺术街,重庆,九龙坡区,citywalk,"涂鸦|拍照|艺术|citywalk",90,下午,雨天,free,0,30,outdoor,"拍照用户|艺术用户",适合与交通茶馆或川美相关点位组合,黄桷坪片区,,,,manual,0.78
重庆科技馆,重庆科技馆,重庆,江北区,亲子,"亲子|室内|科普|雨天友好",150,上午|下午,闭馆前,free,0,30,indoor,"亲子用户|雨天用户",需关注预约和开放时间,江北嘴片区,,,,manual,0.80
江北嘴,江北嘴中央商务区,重庆,江北区,商圈,"江景|城市景观|拍照|轻松",60,下午|晚上,工作日通勤高峰,free,0,50,outdoor,"拍照用户|轻松游用户",更适合顺路经过，不建议单独安排过长时间,江北嘴片区,,,,manual,0.76
较场口夜市,较场口夜市,重庆,渝中区,餐饮,"夜市|美食|低预算|人多",75,晚上,周末晚上,low,30,100,outdoor,"美食用户|朋友|低预算用户",注意排队和食品选择，适合与解放碑片区组合,解放碑片区,,,,manual,0.78
长江索道,重庆长江索道,重庆,渝中区,景点,"经典打卡|江景|排队风险|交通体验",90,上午|晚上,节假日高峰,medium,20,40,mixed,"第一次来重庆|情侣|拍照用户",热门时段排队较久，时间紧张时可作为备选点,解放碑片区,,,,manual,0.82
